Entry	Reviewed	Entry Name	Gene Names	EC number	Gene Ontology (GO)	Organism (ID)
Q88JU3	reviewed	DSD_PSEPK	quiC1 quiC PP_2554	4.2.1.118	3-dehydroshikimate dehydratase activity [GO:0046565]; magnesium ion binding [GO:0000287]; 3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; quinate catabolic process [GO:0019631]; shikimate catabolic process [GO:0019633]	160488
Q88L02	reviewed	FADB_PSEPK	fadB PP_2136	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	fatty acid beta-oxidation multienzyme complex [GO:0036125]; 3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; 3-hydroxybutyryl-CoA epimerase activity [GO:0008692]; delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]; enoyl-CoA hydratase activity [GO:0004300]; NAD+ binding [GO:0070403]; fatty acid beta-oxidation [GO:0006635]	160488
Q88LS1	reviewed	EARP_PSEPK	earP PP_1857	2.4.1.-	protein-arginine rhamnosyltransferase activity [GO:0106361]	160488
Q88M11	reviewed	MUPP_PSEPK	mupP gph PP_1764	3.1.3.105	metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; cell wall organization [GO:0071555]; N-acetylmuramic acid metabolic process [GO:0097172]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	160488
Q88Q83	reviewed	GLYOX_PSEPK	thiO PP_0612	1.4.3.19	FAD binding [GO:0071949]; glycine oxidase activity [GO:0043799]; amino acid metabolic process [GO:0006520]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	160488
Q88QT2	reviewed	MURU_PSEPK	murU PP_0406	2.7.7.99	carbohydrate derivative binding [GO:0097367]; magnesium ion binding [GO:0000287]; uridylyltransferase activity [GO:0070569]; UTP binding [GO:0002134]; cell wall organization [GO:0071555]; N-acetylmuramic acid metabolic process [GO:0097172]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	160488
P0A171	reviewed	RP54_PSEPK	rpoN ntrA PP_0952		DNA-directed RNA polymerase complex [GO:0000428]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; identical protein binding [GO:0042802]; nucleotidyltransferase activity [GO:0016779]; sigma factor activity [GO:0016987]; transcription cis-regulatory region binding [GO:0000976]; DNA-templated transcription initiation [GO:0006352]; positive regulation of DNA-templated transcription [GO:0045893]	160488
P59479	reviewed	LEXA2_PSEPK	lexA2 lexA-2 PP_3116	3.4.21.88	protein-DNA complex [GO:0032993]; DNA-binding transcription repressor activity [GO:0001217]; serine-type endopeptidase activity [GO:0004252]; transcription cis-regulatory region binding [GO:0000976]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; negative regulation of DNA-templated transcription [GO:0045892]; proteolysis [GO:0006508]; SOS response [GO:0009432]	160488
Q88BX6	reviewed	GLMU_PSEPK	glmU PP_5411	2.3.1.157; 2.7.7.23	cytoplasm [GO:0005737]; glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134]; magnesium ion binding [GO:0000287]; UDP-N-acetylglucosamine diphosphorylase activity [GO:0003977]; cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	160488
Q88C96	unreviewed	Q88C96_PSEPK	dfp coaBC PP_5285	4.1.1.36; 6.3.2.5	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	160488
Q88CT0	reviewed	IXTPA_PSEPK	PP_5100	3.6.1.66	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; XTP diphosphatase activity [GO:0036222]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	160488
Q88CT3	reviewed	METXS_PSEPK	metXS PP_5097	2.3.1.46	cytoplasm [GO:0005737]; homoserine O-succinyltransferase activity [GO:0008899]; methionine biosynthetic process [GO:0009086]	160488
Q88CY4	reviewed	THII_PSEPK	thiI PP_5045	2.8.1.4	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; CCA tRNA nucleotidyltransferase activity [GO:0004810]; tRNA binding [GO:0000049]; tRNA-uracil-4 sulfurtransferase activity [GO:0140741]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]; tRNA thio-modification [GO:0034227]	160488
Q88D93	reviewed	HLDE_PSEPK	hldE rfaE PP_4934	2.7.1.167; 2.7.7.70	ATP binding [GO:0005524]; heptose 7-phosphate kinase activity [GO:0033785]; heptose-1-phosphate adenylyltransferase activity [GO:0033786]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]	160488
Q88DU5	reviewed	CARA_PSEPK	carA PP_4724	6.3.5.5	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; glutaminase activity [GO:0004359]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]	160488
Q88DU6	reviewed	CARB_PSEPK	carB PP_4723	6.3.4.16; 6.3.5.5	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]	160488
Q88DV1	unreviewed	Q88DV1_PSEPK	ftsH PP_4718	3.4.24.-	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	160488
Q88DZ5	unreviewed	Q88DZ5_PSEPK	recB PP_4673	3.1.11.5; 5.6.2.4	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; exodeoxyribonuclease V activity [GO:0008854]; isomerase activity [GO:0016853]; magnesium ion binding [GO:0000287]; double-strand break repair via homologous recombination [GO:0000724]	160488
Q88EI9	reviewed	AK_PSEPK	PP_4473	2.7.2.4	cytosol [GO:0005829]; aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	160488
Q88EQ6	reviewed	YCGR_PSEPK	ycgR PP_4397		bacterial-type flagellum basal body [GO:0009425]; cyclic-di-GMP binding [GO:0035438]; bacterial-type flagellum-dependent cell motility [GO:0071973]; regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed [GO:0071945]	160488
Q88F51	reviewed	PPNP_PSEPK	ppnP PP_4248	2.4.2.1; 2.4.2.2	guanosine phosphorylase activity [GO:0047975]; purine-nucleoside phosphorylase activity [GO:0004731]; thymidine phosphorylase activity [GO:0009032]; uridine phosphorylase activity [GO:0004850]	160488
Q88F89	reviewed	PVDR_PSEPK	pvdR PP_4209		extrinsic component of membrane [GO:0019898]; macrolide transmembrane transporter complex [GO:1990195]; periplasmic space [GO:0042597]; transmembrane transporter activity [GO:0022857]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	160488
Q88FI7	reviewed	2AAAT_PSEPK	PP_4108	2.6.1.39	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	160488
Q88FT3	reviewed	CYSG_PSEPK	cysG cobA-2 PP_3999	1.3.1.76; 2.1.1.107; 4.99.1.4	NAD binding [GO:0051287]; precorrin-2 dehydrogenase activity [GO:0043115]; sirohydrochlorin ferrochelatase activity [GO:0051266]; uroporphyrin-III C-methyltransferase activity [GO:0004851]; cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]	160488
Q88FX8	reviewed	NICB_PSEPK	nicB ndhL PP_3948	1.17.2.1	membrane [GO:0016020]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on CH or CH2 groups [GO:0016725]; nicotinate catabolic process [GO:1901848]	160488
Q88FX9	reviewed	NICA_PSEPK	nicA ndhS PP_3947	1.17.2.1	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on CH or CH2 groups [GO:0016725]; nicotinate catabolic process [GO:1901848]	160488
Q88FY1	reviewed	NICX_PSEPK	nicX PP_3945	1.13.11.9	2,5-dihydroxypyridine 5,6-dioxygenase activity [GO:0047075]; metal ion binding [GO:0046872]; nicotinate catabolic process [GO:1901848]	160488
Q88FY3	reviewed	NICD_PSEPK	nicD PP_3943	3.5.1.106	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; nicotinate catabolic process [GO:1901848]	160488
Q88GQ0	reviewed	KATG_PSEPK	katG PP_3668	1.11.1.21	cytosol [GO:0005829]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	160488
Q88H32	reviewed	OCD_PSEPK	ocd PP_3533	4.3.1.12	nucleotide binding [GO:0000166]; ornithine cyclodeaminase activity [GO:0008473]; L-proline biosynthetic process [GO:0055129]	160488
Q88HH7	reviewed	PTXS_PSEPK	ptxS PP_3380		protein-DNA complex [GO:0032993]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; transcription cis-regulatory region binding [GO:0000976]	160488
Q88IU0	reviewed	GLAH_PSEPK	glaH csiD PP_2909	1.14.11.64	ferrous iron binding [GO:0008198]; glutarate dioxygenase activity [GO:0106343]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, with 2-oxoglutarate as one donor, and the other dehydrogenated [GO:0050498]; L-lysine catabolic process [GO:0019477]	160488
Q88JX8	reviewed	GALB_PSEPK	galB PP_2515	4.2.1.83	4-oxalmesaconate hydratase activity [GO:0047584]; metal ion binding [GO:0046872]; gallate catabolic process [GO:0019396]	160488
Q88JX9	reviewed	GALC_PSEPK	galC PP_2514	4.1.3.17	4-hydroxy-4-methyl-2-oxoglutarate aldolase activity [GO:0047443]; metal ion binding [GO:0046872]; oxo-acid-lyase activity [GO:0016833]; gallate catabolic process [GO:0019396]	160488
Q88KV1	reviewed	MIAE_PSEPK	miaE PP_2188	1.14.99.69	metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]; tRNA-(2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine)-hydroxylase activity [GO:0045301]; tRNA modification [GO:0006400]	160488
Q88LE4	unreviewed	Q88LE4_PSEPK	asd PP_1989	1.2.1.11	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]; 'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	160488
Q88LM4	unreviewed	Q88LM4_PSEPK	rne PP_1905	3.1.26.12	cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; magnesium ion binding [GO:0000287]; ribonuclease E activity [GO:0008995]; RNA endonuclease activity [GO:0004521]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; mRNA catabolic process [GO:0006402]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	160488
Q88MG1	reviewed	PYRG_PSEPK	pyrG PP_1610	6.3.4.2	cytosol [GO:0005829]; ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; glutamine metabolic process [GO:0006541]; pyrimidine nucleobase biosynthetic process [GO:0019856]	160488
Q88N81	reviewed	MURE_PSEPK	murE PP_1332	6.3.2.13	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	160488
Q88NA8	unreviewed	Q88NA8_PSEPK	cysNC cysN PP_1304	2.7.7.4	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]	160488
Q88NI1	reviewed	MCPU_PSEPK	mcpU PP_1228		plasma membrane [GO:0005886]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	160488
Q88NN6	reviewed	URODH_PSEPK	udh PP_1171	1.1.1.203	nucleotide binding [GO:0000166]; uronate dehydrogenase activity [GO:0050388]	160488
Q88P32	reviewed	HEXR_PSEPK	hexR PP_1021		protein-DNA complex [GO:0032993]; carbohydrate derivative binding [GO:0097367]; DNA-binding transcription repressor activity [GO:0001217]; transcription cis-regulatory region binding [GO:0000976]; carbohydrate derivative metabolic process [GO:1901135]	160488
Q88PK0	reviewed	RLMN_PSEPK	rlmN PP_0850	2.1.1.192	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; rRNA (adenine(2503)-C2-)-methyltransferase activity [GO:0070040]; rRNA binding [GO:0019843]; tRNA (adenine(37)-C2)-methyltransferase activity [GO:0002935]; tRNA binding [GO:0000049]; rRNA base methylation [GO:0070475]; tRNA methylation [GO:0030488]	160488
Q88PP0	reviewed	HMP_PSEPK	hmp hmpA PP_0808	1.14.12.17	FAD binding [GO:0071949]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; nitric oxide dioxygenase NAD(P)H activity [GO:0008941]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; response to nitrosative stress [GO:0051409]; response to toxic substance [GO:0009636]	160488
Q88PX6	reviewed	KPRS_PSEPK	prs prsA PP_0722	2.7.6.1	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	160488
Q88QQ4	reviewed	ANMK_PSEPK	anmK PP_0434	2.7.1.170	ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; 1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar metabolic process [GO:0006040]; peptidoglycan turnover [GO:0009254]; response to antibiotic [GO:0046677]	160488
Q88QS0	reviewed	ESTP_PSEPK	estP PP_0418	3.1.1.1; 3.1.2.2	cell outer membrane [GO:0009279]; carboxylesterase activity [GO:0106435]; lipase activity [GO:0016298]; long-chain fatty acyl-CoA hydrolase activity [GO:0052816]; lipid metabolic process [GO:0006629]	160488
Q88QT3	reviewed	AMGK_PSEPK	amgK PP_0405	2.7.1.221	ATP binding [GO:0005524]; carbohydrate kinase activity [GO:0019200]; cell wall organization [GO:0071555]; N-acetylmuramic acid metabolic process [GO:0097172]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	160488
Q88R12	reviewed	GLYA1_PSEPK	glyA1 glyA-1 PP_0322	2.1.2.1	cytosol [GO:0005829]; cobalt ion binding [GO:0050897]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; serine binding [GO:0070905]; zinc ion binding [GO:0008270]; folic acid metabolic process [GO:0046655]; glycine biosynthetic process from serine [GO:0019264]; L-serine catabolic process [GO:0006565]; tetrahydrofolate interconversion [GO:0035999]	160488
Q88RA3	reviewed	TAUD_PSEPK	tauD atsK PP_0230	1.14.11.17	identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; sulfonate dioxygenase activity [GO:0000907]; taurine dioxygenase activity [GO:0000908]; sulfur compound catabolic process [GO:0044273]	160488
Q88RB9	reviewed	DAVT_PSEPK	davT PP_0214	2.6.1.48	4-aminobutyrate transaminase activity [GO:0003867]; 5-aminovalerate transaminase activity [GO:0047589]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]; gamma-aminobutyric acid metabolic process [GO:0009448]; L-lysine catabolic process [GO:0019477]	160488
Q88RS0	reviewed	GMHBB_PSEPK	gmhB PP_0059	3.1.3.82	cytoplasm [GO:0005737]; D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase activity [GO:0034200]; metal ion binding [GO:0046872]; ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]	160488
A0A140FW29	unreviewed	A0A140FW29_PSEPK	rluA PP_1731	5.4.99.-	23S rRNA pseudouridine(746) synthase activity [GO:0160142]; RNA binding [GO:0003723]; tRNA pseudouridine(32) synthase activity [GO:0160151]; pseudouridine synthesis [GO:0001522]; RNA processing [GO:0006396]	160488
A0A140FW51	unreviewed	A0A140FW51_PSEPK	truA PP_1994	5.4.99.12	RNA binding [GO:0003723]; tRNA pseudouridine(38-40) synthase activity [GO:0160147]; tRNA pseudouridine synthesis [GO:0031119]	160488
A0A140FWL1	unreviewed	A0A140FWL1_PSEPK	kdpB PP_4160	7.2.2.6	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]	160488
A0A140FWM5	unreviewed	A0A140FWM5_PSEPK	ddl PP_5673	6.3.2.4	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; D-alanine-D-alanine ligase activity [GO:0008716]; metal ion binding [GO:0046872]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	160488
A0A140FWS4	unreviewed	A0A140FWS4_PSEPK	ubiB PP_5013	2.7.-.-	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; oxidoreductase activity [GO:0016491]; protein kinase activity [GO:0004672]; regulation of ubiquinone biosynthetic process [GO:0010795]; ubiquinone biosynthetic process [GO:0006744]	160488
P0A118	reviewed	DNAG_PSEPK	dnaG PP_0388	2.7.7.101	DNA-directed RNA polymerase complex [GO:0000428]; primosome complex [GO:1990077]; DNA binding [GO:0003677]; DNA primase activity [GO:0003896]; zinc ion binding [GO:0008270]	160488
P0A126	reviewed	IHFA_PSEPK	ihfA himA PP_2471		protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription repressor activity [GO:0001217]; structural constituent of chromatin [GO:0030527]; transcription cis-regulatory region binding [GO:0000976]; DNA recombination [GO:0006310]; regulation of translation [GO:0006417]	160488
P0A136	reviewed	KAD_PSEPK	adk PP_1506	2.7.4.3	cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; AMP salvage [GO:0044209]	160488
P0A153	reviewed	LEXA1_PSEPK	lexA1 lexA lexA-1 PP_2143	3.4.21.88	DNA binding [GO:0003677]; serine-type endopeptidase activity [GO:0004252]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; negative regulation of DNA-templated transcription [GO:0045892]; proteolysis [GO:0006508]; SOS response [GO:0009432]	160488
P0A155	reviewed	AHPF_PSEPK	ahpF PP_2440	1.8.1.-	cytosol [GO:0005829]; alkyl hydroperoxide reductase activity [GO:0008785]; flavin adenine dinucleotide binding [GO:0050660]; NAD binding [GO:0051287]; thioredoxin-disulfide reductase (NADPH) activity [GO:0004791]; cell redox homeostasis [GO:0045454]; response to reactive oxygen species [GO:0000302]	160488
P0A175	reviewed	MNME_PSEPK	mnmE thdF trmE PP_0005	3.6.-.-	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; tRNA modification [GO:0006400]	160488
P0A181	reviewed	QADG_PSEPK	qhnDH PP_3460	1.4.9.-	periplasmic space [GO:0042597]; amine dehydrogenase activity [GO:0030058]	160488
P59285	reviewed	ALLA_PSEPK	allA PP_4288	4.3.2.3	ureidoglycolate hydrolase activity [GO:0004848]; ureidoglycolate lyase activity [GO:0050385]; allantoin catabolic process [GO:0000256]; purine nucleobase catabolic process [GO:0006145]	160488
P59300	reviewed	ARGB_PSEPK	argB PP_5289	2.7.2.8	cytoplasm [GO:0005737]; acetylglutamate kinase activity [GO:0003991]; ATP binding [GO:0005524]; arginine biosynthetic process via ornithine [GO:0042450]	160488
P59319	reviewed	ARGD_PSEPK	argD PP_4481	2.6.1.11	cytoplasm [GO:0005737]; N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]; arginine biosynthetic process [GO:0006526]	160488
P59392	reviewed	SELD_PSEPK	selD PP_0823	2.7.9.3	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; selenide, water dikinase activity [GO:0004756]; selenocysteine biosynthetic process [GO:0016260]	160488
P59400	reviewed	HISX_PSEPK	hisD PP_0966	1.1.1.23	histidinol dehydrogenase activity [GO:0004399]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; L-histidine biosynthetic process [GO:0000105]	160488
P59612	reviewed	ARGJ_PSEPK	argJ PP_1346	2.3.1.1; 2.3.1.35	cytoplasm [GO:0005737]; acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]; arginine biosynthetic process [GO:0006526]	160488
Q7CCA6	unreviewed	Q7CCA6_PSEPK	rpoH PP_5108		cytoplasm [GO:0005737]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; response to heat [GO:0009408]	160488
Q88BW9	reviewed	ATPL_PSEPK	atpE PP_5418 PP5418		plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	160488
Q88BX2	reviewed	ATPA_PSEPK	atpA PP_5415	7.1.2.2	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	160488
Q88BX4	reviewed	ATPB_PSEPK	atpD PP_5413	7.1.2.2	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	160488
Q88BX8	reviewed	GLMS_PSEPK	glmS PP_5409	2.6.1.16	cytoplasm [GO:0005737]; carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]; carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541]	160488
Q88BY5	reviewed	NPD_PSEPK	cobB PP_5402	2.3.1.286	cytoplasm [GO:0005737]; NAD+ binding [GO:0070403]; NAD-dependent protein lysine deacetylase activity [GO:0034979]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]	160488
Q88C19	reviewed	CLSA_PSEPK	clsA cls PP_5364	2.7.8.-	plasma membrane [GO:0005886]; cardiolipin synthase activity [GO:0008808]; cardiolipin biosynthetic process [GO:0032049]	160488
Q88C26	reviewed	PDXY_PSEPK	pdxY PP_5357	2.7.1.35	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; pyridoxal kinase activity [GO:0008478]; pyridoxal 5'-phosphate salvage [GO:0009443]	160488
